mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6089322566986084,0.029002271005834898,0.00543818473815918,0.0006179444683452326,relu,0.0001,"(20,)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",0.95,0.875,0.975,0.925,0.875,0.9199999999999999,0.039999999999999994,37
0.24365577697753907,0.02302141914469409,0.004829263687133789,0.000724441521776946,relu,0.0001,"(20,)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.925,0.925,0.95,0.9,0.8,0.9,0.05244044240850756,46
0.8453027248382569,0.03526645570133448,0.005531454086303711,0.0004813493528864515,relu,0.0001,"(15,)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.001}",0.95,0.875,0.95,0.925,0.9,0.9200000000000002,0.029154759474226483,31
0.271368408203125,0.02763895912512601,0.0046459674835205075,0.00032532788139180723,relu,0.0001,"(15,)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",0.95,0.875,0.875,0.925,0.9,0.905,0.029154759474226494,43
1.4822356224060058,0.08087434536746706,0.004594850540161133,0.0005206876924398879,relu,0.0001,"(15, 10)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",1.0,0.875,0.95,0.925,0.9,0.93,0.043011626335213125,23
0.44253969192504883,0.06285754396812496,0.005430746078491211,0.0007366456213568406,relu,0.0001,"(15, 10)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.925,0.925,0.9,0.9200000000000002,0.018708286933869687,31
0.6481482982635498,0.015024073300278615,0.005529975891113282,0.00037171830192658887,relu,0.0001,50,0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.9,0.975,0.95,0.85,0.9299999999999999,0.04847679857416328,26
0.3192470073699951,0.017115700578008475,0.007431888580322265,0.001268388728448711,relu,0.0001,50,0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.85,0.9,0.975,0.925,0.875,0.905,0.04301162633521314,43
0.628991174697876,0.04107396274727504,0.0047858238220214845,0.0007177872110585287,relu,0.001,"(20,)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",0.95,0.875,0.975,0.925,0.875,0.9199999999999999,0.039999999999999994,37
0.24607610702514648,0.01733051634225463,0.005065298080444336,0.000873232821285574,relu,0.001,"(20,)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.925,0.925,0.95,0.9,0.8,0.9,0.05244044240850756,46
