mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011124086380004884,0.001174273677089936,0.023110055923461915,0.0018369951135679945,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.925,0.85,0.95,0.85,0.775,0.8699999999999999,0.06204836822995428,6
0.012630367279052734,0.002200550281216272,0.028944921493530274,0.0048492986182902065,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.925,0.85,0.925,0.825,0.8,0.865,0.05147815070493502,8
0.014618873596191406,0.0029623837440398574,0.018963623046875,0.0017549789295655087,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.95,0.8,0.95,0.875,0.775,0.8700000000000001,0.07314369419163894,3
0.012113523483276368,0.003013397769850035,0.008292627334594727,0.006746042604971514,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.95,0.825,0.95,0.875,0.825,0.885,0.05612486080160911,1
0.01076955795288086,0.0011673826610341866,0.014998435974121094,0.006226942921996093,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.975,0.825,0.925,0.825,0.75,0.86,0.08,10
0.013883209228515625,0.0036380701417743377,0.014380455017089844,0.003430811962728995,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.95,0.85,0.925,0.825,0.775,0.865,0.06442049363362562,8
0.015110015869140625,0.002369933180544022,0.005569744110107422,0.0009884220615812454,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.925,0.825,0.925,0.85,0.75,0.8550000000000001,0.06595452979136461,12
0.020099401473999023,0.006941094597650071,0.0075894355773925785,0.002151031714978423,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.95,0.825,0.925,0.85,0.8,0.8700000000000001,0.05787918451395112,3
0.01890397071838379,0.0011124817637400085,0.016213274002075194,0.004160556382180652,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9,0.85,0.925,0.825,0.725,0.845,0.06964194138592063,14
0.016188526153564455,0.003872742243883853,0.020440959930419923,0.008067962317237195,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.95,0.875,0.925,0.825,0.775,0.8700000000000001,0.06403124237432849,3
0.01876993179321289,0.002085629528066372,0.008083343505859375,0.0014588821516797828,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.925,0.825,0.925,0.825,0.75,0.85,0.06708203932499371,13
0.015491962432861328,0.00234378646487564,0.007047843933105469,0.0013384961758387032,7,2,distance,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.95,0.85,0.925,0.85,0.8,0.875,0.0547722557505166,2
0.018589019775390625,0.002848957341403251,0.018462324142456056,0.004491249340532948,9,1,uniform,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9,0.875,0.9,0.825,0.725,0.845,0.06595452979136461,14
0.018826866149902345,0.0013227393718090949,0.019753170013427735,0.007001422506497681,9,1,distance,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.9,0.85,0.9,0.825,0.7,0.835,0.07348469228349537,16
0.01672639846801758,0.0013360803471619887,0.008450937271118165,0.003928172051177768,9,2,uniform,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'}",0.95,0.85,0.925,0.825,0.75,0.86,0.07176350047203663,10
0.013066720962524415,0.0018843629400126349,0.004076671600341797,0.0012319892395981006,9,2,distance,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'}",0.95,0.85,0.9,0.85,0.8,0.8699999999999999,0.05099019513592783,6
