mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19618492126464843,0.04577496317890881,0.011684226989746093,0.0048611903885423585,0.1,scale,rbf,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.775,0.925,0.95,0.95,0.85,0.89,0.06819090848492926,11
0.15932774543762207,0.023923860062992297,0.005870437622070313,0.0018451660914611005,0.1,scale,linear,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.1263288974761963,0.011031953341645985,0.004644250869750977,0.0008960807257094242,0.1,scale,poly,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'poly'}",0.175,0.3,0.35,0.375,0.225,0.28500000000000003,0.07516648189186455,17
0.1413405418395996,0.02366903623066297,0.00972142219543457,0.001951317576024643,0.1,auto,rbf,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.775,0.925,0.95,0.95,0.85,0.89,0.06819090848492926,11
0.12141351699829102,0.017092061791189155,0.005906152725219727,0.001908098916067471,0.1,auto,linear,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.12532196044921876,0.030222017749369223,0.0068416595458984375,0.002074282344331,0.1,auto,poly,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}",0.175,0.3,0.35,0.375,0.225,0.28500000000000003,0.07516648189186455,17
0.15328903198242189,0.030400048941912856,0.009019136428833008,0.00048412858915560165,1.0,scale,rbf,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9,0.95,0.95,0.975,0.875,0.93,0.03674234614174766,7
0.13824214935302734,0.02286720379765688,0.006581735610961914,0.0017049929708088745,1.0,scale,linear,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.11736292839050293,0.01625853333016259,0.004922676086425781,0.0003570010859803397,1.0,scale,poly,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'poly'}",0.475,0.575,0.625,0.55,0.625,0.57,0.05567764362830022,15
0.14602327346801758,0.008127691799609937,0.009405040740966797,0.0005718356294008046,1.0,auto,rbf,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.9,0.95,0.95,0.975,0.875,0.93,0.03674234614174766,7
0.13276958465576172,0.020516978279717605,0.005779695510864258,0.0014203425847843405,1.0,auto,linear,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.1422290802001953,0.023181507617490604,0.006303262710571289,0.0020722019229647433,1.0,auto,poly,"{'clf__C': 1, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}",0.475,0.575,0.625,0.55,0.625,0.57,0.05567764362830022,15
0.14882841110229492,0.015426726699874835,0.009844207763671875,0.004364016018025728,10.0,scale,rbf,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9,0.925,0.95,0.975,0.875,0.925,0.03535533905932736,9
0.10692348480224609,0.017468569862751925,0.003933334350585937,0.0006324490887949553,10.0,scale,linear,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.13708982467651368,0.020315032606877843,0.0053421974182128905,0.00154242223317215,10.0,scale,poly,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'poly'}",0.575,0.7,0.675,0.65,0.725,0.665,0.05147815070493501,13
0.14962329864501953,0.023277649093760632,0.006680059432983399,0.001716747725081514,10.0,auto,rbf,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.9,0.925,0.95,0.975,0.875,0.925,0.03535533905932736,9
0.11379795074462891,0.01105007737486661,0.003944015502929688,0.0011308265802824787,10.0,auto,linear,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,0.925,0.975,0.975,0.875,0.95,0.04472135954999579,1
0.0875624656677246,0.01241056541628592,0.002641105651855469,0.00014238333590283592,10.0,auto,poly,"{'clf__C': 10, 'clf__gamma': 'auto', 'clf__kernel': 'poly'}",0.575,0.7,0.675,0.65,0.725,0.665,0.05147815070493501,13
