mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1998734951019287,0.0068487128830417975,0.0008205890655517579,0.00011083704081926779,gini,,1,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6,0.55,0.65,0.5,0.675,0.595,0.0640312423743285,1
0.23896117210388185,0.0354177862154071,0.0008554935455322265,8.817303154899308e-05,gini,,1,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.625,0.525,0.55,0.5,0.625,0.5650000000000001,0.051478150704935,45
0.21037912368774414,0.02882039784805256,0.0009199142456054688,0.00014831502986979657,gini,,1,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6,0.55,0.6,0.475,0.625,0.5700000000000001,0.05338539126015655,32
0.2030498504638672,0.028263914889460732,0.0008604526519775391,7.668024849721366e-05,gini,,2,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6,0.575,0.55,0.525,0.6,0.5700000000000001,0.02915475947422648,32
0.1888134479522705,0.0020000452386406803,0.0007674217224121094,3.580866096688873e-05,gini,,2,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6,0.55,0.55,0.5,0.6,0.56,0.037416573867739396,62
0.20116281509399414,0.022925317747067644,0.0008381366729736328,9.444537259598062e-05,gini,,2,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.575,0.55,0.6,0.5,0.6,0.5650000000000001,0.037416573867739396,45
0.2108921527862549,0.0413099181940855,0.0007915019989013672,6.797202884435925e-05,gini,,4,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.6,0.6,0.6,0.525,0.6,0.585,0.02999999999999998,4
0.18176379203796386,0.004620479288404014,0.0007773399353027344,2.839708404713324e-05,gini,,4,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.6,0.6,0.6,0.525,0.6,0.585,0.02999999999999998,4
0.18082375526428224,0.007025881093603735,0.0007569789886474609,3.062319361200047e-05,gini,,4,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.6,0.525,0.6,0.525,0.6,0.5700000000000001,0.03674234614174765,32
0.15124316215515138,0.019599207504553347,0.000817108154296875,6.817410740117568e-05,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.1348705768585205,0.0010946829414159023,0.0008219242095947266,9.696640426553303e-05,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.17777485847473146,0.022001866086503757,0.000893259048461914,6.602027000245537e-05,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.15391755104064941,0.021961553904888617,0.000881814956665039,0.00011704517578120567,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.1360565185546875,0.0035684393748887664,0.0007706165313720703,0.00011123328292363111,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.1452146053314209,0.0216684709081434,0.0008213996887207031,6.3305839274168e-05,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.13365917205810546,0.003775741285191244,0.0007786273956298829,5.0690817720085984e-05,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.1427003860473633,0.019192423596675733,0.0008081436157226562,8.599617686974026e-05,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.13596735000610352,0.004821700591784765,0.0007602691650390625,7.5128717007565045e-06,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.375,0.425,0.425,0.45,0.525,0.44000000000000006,0.04898979485566357,100
0.24774909019470215,0.031214770144639768,0.0009085655212402344,0.00015142544884065085,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.625,0.55,0.575,0.5,0.65,0.58,0.05338539126015656,8
0.21583032608032227,0.026389704827746406,0.0008397102355957031,7.989804651560071e-05,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6,0.6,0.6,0.525,0.625,0.59,0.03391164991562633,3
0.19382796287536622,0.012300942487808534,0.0007488250732421875,2.0197529701914547e-05,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6,0.6,0.6,0.475,0.625,0.58,0.05338539126015657,8
0.18758344650268555,0.003059406604491311,0.0007733345031738281,3.753789796828432e-05,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.575,0.575,0.575,0.5,0.6,0.565,0.03391164991562633,61
0.20492134094238282,0.02440343182222453,0.0007837772369384766,6.75904855843526e-05,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.575,0.6,0.525,0.6,0.575,0.02738612787525829,10
0.22034687995910646,0.03133035420339028,0.0008431911468505859,7.402497202454638e-05,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.575,0.575,0.6,0.5,0.6,0.5700000000000001,0.03674234614174766,32
0.1800748348236084,0.005807452676912294,0.0007725715637207031,3.1207744334484064e-05,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.18122358322143556,0.011073123642187535,0.0007840633392333984,5.6616978408284236e-05,gini,10,4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.21466622352600098,0.03728144101229021,0.0012438297271728516,0.0008863367596861714,gini,10,4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.18913917541503905,0.0047893312346272195,0.0007916927337646484,5.6488722800138134e-05,gini,20,1,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6,0.55,0.65,0.5,0.675,0.595,0.0640312423743285,1
0.1900114059448242,0.0065554562164231315,0.0007646083831787109,1.9298065784126394e-05,gini,20,1,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.625,0.525,0.55,0.5,0.625,0.5650000000000001,0.051478150704935,45
0.23058485984802246,0.030985636649378014,0.0013616561889648437,0.0007748958491497978,gini,20,1,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6,0.55,0.6,0.475,0.625,0.5700000000000001,0.05338539126015655,32
0.2606346130371094,0.04265281729095169,0.0008662223815917968,8.042158016081386e-05,gini,20,2,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6,0.575,0.55,0.525,0.6,0.5700000000000001,0.02915475947422648,32
0.19455790519714355,0.013693547454714622,0.0007987022399902344,7.490594228038679e-05,gini,20,2,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6,0.55,0.55,0.5,0.6,0.56,0.037416573867739396,62
0.19255466461181642,0.018437009423145054,0.0007768154144287109,5.085047437527093e-05,gini,20,2,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.575,0.55,0.6,0.5,0.6,0.5650000000000001,0.037416573867739396,45
0.18344492912292482,0.008444636485208955,0.0007973194122314453,0.00011656375768782337,gini,20,4,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.6,0.6,0.6,0.525,0.6,0.585,0.02999999999999998,4
0.21953754425048827,0.04084515869132799,0.0008342266082763672,7.590387885140332e-05,gini,20,4,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.6,0.6,0.6,0.525,0.6,0.585,0.02999999999999998,4
0.1760763168334961,0.004440920380296257,0.0008717060089111328,0.00015915152894536584,gini,20,4,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.6,0.525,0.6,0.525,0.6,0.5700000000000001,0.03674234614174765,32
0.3252875328063965,0.06577755392880691,0.0008233070373535156,7.73907442262951e-05,entropy,,1,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.525,0.5,0.65,0.5,0.575,0.55,0.0570087712549569,64
0.2816470146179199,0.025921099040791908,0.0007863521575927734,6.76124824954932e-05,entropy,,1,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.575,0.5,0.6,0.575,0.575,0.5650000000000001,0.03391164991562633,45
0.26346416473388673,0.014034036589254005,0.00075225830078125,1.1711571029301547e-05,entropy,,1,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.3168753147125244,0.09471683521941891,0.0007822990417480468,7.43600602378777e-05,entropy,,2,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
0.279118013381958,0.03845070532739155,0.0008256435394287109,0.0001150812671521159,entropy,,2,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.525,0.6,0.575,0.575,0.5700000000000001,0.024494897427831765,32
0.28136706352233887,0.05757012783015223,0.00078277587890625,8.243608452528085e-05,entropy,,2,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.26261558532714846,0.03300330305388413,0.0007660865783691406,6.430576484939382e-05,entropy,,4,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.241290283203125,0.011638230497561061,0.0007679939270019531,3.228874218035328e-05,entropy,,4,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.24310016632080078,0.031197075345290884,0.0007999897003173828,8.257789855969856e-05,entropy,,4,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.31032571792602537,0.056610246041584794,0.0010329246520996093,0.0004507521403606261,entropy,5,1,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.475,0.5,0.55,0.45,0.55,0.505,0.04000000000000002,98
